learning_rate,forgetting_rate,avg_weight,std_weight,avg_firing_count,std_firing_count,avg_avalanche_size,std_avalanche_size,avg_avalanche_duration,std_avalanche_duration,n_avalanches
0.01,0.0012806871396281536,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.020858972291342037,0.057869,0.000632,0.2767,0.6141,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0914064436591919,0.041415,0.000336,0.1660,0.4224,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08522750249615256,0.040870,0.000389,0.1835,0.4425,0.0000,0.0000,0.0000,0.0000,0
0.01,0.01906083484896978,0.059426,0.000675,0.2950,0.6411,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08003868803333439,0.042978,0.000383,0.1862,0.4523,0.0000,0.0000,0.0000,0.0000,0
0.01,0.044873356086572225,0.047657,0.000494,0.2375,0.5693,0.0000,0.0000,0.0000,0.0000,0
0.01,0.002460453899910901,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.041507082843079815,0.048817,0.000518,0.2482,0.5605,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07407370795512347,0.042140,0.000375,0.1720,0.4341,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07467643874238676,0.042257,0.000331,0.1525,0.4102,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0561852994346006,0.044472,0.000498,0.2097,0.5194,0.0000,0.0000,0.0000,0.0000,0
0.01,0.045891765559061756,0.047420,0.000475,0.2170,0.5248,0.0000,0.0000,0.0000,0.0000,0
0.01,0.006655543517641769,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
